Epochs: 1 | Loss:  0.195 | Accuracy:  0.699
Epochs: 2 | Loss:  0.172 | Accuracy:  0.739
Epochs: 3 | Loss:  0.159 | Accuracy:  0.770
Epochs: 4 | Loss:  0.155 | Accuracy:  0.787
Epochs: 5 | Loss:  0.155 | Accuracy:  0.803
Epochs: 6 | Loss:  0.147 | Accuracy:  0.819
Epochs: 7 | Loss:  0.143 | Accuracy:  0.832
Epochs: 8 | Loss:  0.140 | Accuracy:  0.840
Epochs: 9 | Loss:  0.134 | Accuracy:  0.848
Epochs: 10 | Loss:  0.131 | Accuracy:  0.853
Epochs: 11 | Loss:  0.129 | Accuracy:  0.861
Epochs: 12 | Loss:  0.121 | Accuracy:  0.868
Epochs: 13 | Loss:  0.120 | Accuracy:  0.874
Epochs: 14 | Loss:  0.117 | Accuracy:  0.875
Epochs: 15 | Loss:  0.112 | Accuracy:  0.881
Epochs: 16 | Loss:  0.112 | Accuracy:  0.883
Epochs: 17 | Loss:  0.111 | Accuracy:  0.888
Epochs: 18 | Loss:  0.108 | Accuracy:  0.891
Epochs: 19 | Loss:  0.105 | Accuracy:  0.890
Epochs: 20 | Loss:  0.101 | Accuracy:  0.896
Epochs: 21 | Loss:  0.100 | Accuracy:  0.900
Epochs: 22 | Loss:  0.102 | Accuracy:  0.898
Epochs: 23 | Loss:  0.096 | Accuracy:  0.903
Epochs: 24 | Loss:  0.098 | Accuracy:  0.905
Epochs: 25 | Loss:  0.097 | Accuracy:  0.903
Epochs: 26 | Loss:  0.095 | Accuracy:  0.907
Epochs: 27 | Loss:  0.094 | Accuracy:  0.906
Epochs: 28 | Loss:  0.094 | Accuracy:  0.908
Epochs: 29 | Loss:  0.093 | Accuracy:  0.909
Epochs: 30 | Loss:  0.091 | Accuracy:  0.908
